year,sex,graduated,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2020,Male,31.0,p: provisional,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2021,Male,326.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2022,Male,326.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2023,Male,371.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2013,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2014,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2016,Female,141.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2017,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2018,Female,60.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2019,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2020,Female,0.0,p: provisional,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2021,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2022,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2023,Female,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2013,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2014,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2015,Male,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2016,Male,93.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2017,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2018,Male,30.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2019,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2020,Male,0.0,p: provisional,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2021,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2022,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2023,Male,0.0,,ED5,Short-cycle tertiary education,F03,"Social sciences, journalism and information",Soft Sciences
2013,Female,17.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2014,Female,41.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2015,Female,0.0,d: definition differs (see metadata),ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2016,Female,135.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2017,Female,49.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2018,Female,269.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2019,Female,142.0,,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
2020,Female,277.0,p: provisional,ED5,Short-cycle tertiary education,F04,"Business, administration and law",Soft Sciences
