year,sex,graduated,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2017,Female,8436.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2018,Female,16728.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2019,Female,16824.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2020,Female,36112.0,p: provisional,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2021,Female,19732.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2022,Female,21488.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2023,Female,17083.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2013,Male,1297.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2014,Male,1566.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2015,Male,546.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2016,Male,538.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2017,Male,739.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2018,Male,3587.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2019,Male,3179.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2020,Male,10643.0,p: provisional,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2021,Male,3749.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2022,Male,4199.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2023,Male,2002.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2013,Female,27671.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2014,Female,27757.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2015,Female,27753.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2016,Female,28220.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2017,Female,29811.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2018,Female,31777.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2019,Female,33052.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2020,Female,34086.0,p: provisional,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2021,Female,35464.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2022,Female,32310.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2023,Female,35646.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2013,Male,10291.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2014,Male,10825.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2015,Male,11428.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2016,Male,11910.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2017,Male,12833.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2018,Male,13415.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2019,Male,13884.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2020,Male,14059.0,p: provisional,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2021,Male,14420.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2022,Male,13347.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2023,Male,14372.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2013,Female,19492.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2014,Female,19840.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2015,Female,20879.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2016,Female,20201.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2017,Female,20269.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2018,Female,22061.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2019,Female,23134.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2020,Female,24671.0,p: provisional,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2021,Female,26566.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2022,Female,25794.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2023,Female,30659.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2013,Male,11067.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2014,Male,11514.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2015,Male,12241.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2016,Male,8657.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2017,Male,8994.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2018,Male,13692.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2019,Male,13738.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2020,Male,14108.0,p: provisional,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2021,Male,15963.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2022,Male,15043.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2023,Male,16718.0,,ED6,Bachelor's or equivalent level,F03,"Social sciences, journalism and information",Soft Sciences
2013,Female,16283.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2014,Female,16345.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2015,Female,12680.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2016,Female,15719.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2017,Female,15755.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2018,Female,14995.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2019,Female,17218.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2020,Female,19067.0,p: provisional,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2021,Female,21073.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2022,Female,22219.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2023,Female,26526.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2013,Male,15536.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2014,Male,15581.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2015,Male,13049.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2016,Male,17160.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2017,Male,18012.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2018,Male,16015.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2019,Male,18151.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2020,Male,19729.0,p: provisional,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2021,Male,21145.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2022,Male,23042.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2023,Male,27785.0,,ED6,Bachelor's or equivalent level,F04,"Business, administration and law",Soft Sciences
2013,Female,8386.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2014,Female,8479.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2015,Female,8650.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2016,Female,8362.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2017,Female,8498.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2018,Female,9128.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2019,Female,9627.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2020,Female,10335.0,p: provisional,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2021,Female,10488.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2022,Female,9991.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2023,Female,11468.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2013,Male,5916.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2014,Male,5911.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2015,Male,5932.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2016,Male,6176.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2017,Male,6062.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2018,Male,6956.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2019,Male,7304.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2020,Male,7455.0,p: provisional,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2021,Male,7402.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2022,Male,7281.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2023,Male,8148.0,,ED6,Bachelor's or equivalent level,F05,"Natural sciences, mathematics and statistics",STEM
2013,Female,343.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2014,Female,334.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2015,Female,1794.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2016,Female,352.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2017,Female,341.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2018,Female,716.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2019,Female,576.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2020,Female,635.0,p: provisional,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2021,Female,599.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2022,Female,612.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2023,Female,625.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2013,Male,2015.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2014,Male,2007.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2015,Male,6743.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2016,Male,2131.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2017,Male,2225.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2018,Male,2825.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2019,Male,2935.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2020,Male,3206.0,p: provisional,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2021,Male,3168.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2022,Male,3054.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2023,Male,3401.0,,ED6,Bachelor's or equivalent level,F06,Information and communication technologies,STEM
2013,Female,9697.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2014,Female,9807.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2015,Female,6953.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2016,Female,8143.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2017,Female,8634.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2018,Female,9092.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2019,Female,8958.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2020,Female,9068.0,p: provisional,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2021,Female,9246.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2022,Female,9015.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2023,Female,9672.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2013,Male,20099.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2014,Male,20745.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2015,Male,15187.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2016,Male,20038.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2017,Male,20750.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2018,Male,21432.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2019,Male,22356.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2020,Male,22582.0,p: provisional,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2021,Male,22893.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2022,Male,22529.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2023,Male,23928.0,,ED6,Bachelor's or equivalent level,F07,"Engineering, manufacturing and construction",STEM
2013,Female,1627.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2014,Female,1820.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2015,Female,1897.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2016,Female,2280.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2017,Female,2496.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2018,Female,2703.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2019,Female,2728.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2020,Female,2687.0,p: provisional,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2021,Female,2618.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2022,Female,2195.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2023,Female,2262.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2013,Male,1972.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2014,Male,2067.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2015,Male,2081.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2016,Male,2469.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2017,Male,2750.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2018,Male,3019.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2019,Male,3122.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2020,Male,2885.0,p: provisional,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2021,Male,2894.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2022,Male,2526.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2023,Male,2333.0,,ED6,Bachelor's or equivalent level,F08,"Agriculture, forestry, fisheries and veterinary",Life & Health Sciences
2013,Female,22354.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2014,Female,22791.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2015,Female,18652.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2016,Female,15803.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2017,Female,15960.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2018,Female,19693.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2019,Female,18614.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2020,Female,17303.0,p: provisional,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2021,Female,18566.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2022,Female,19037.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2023,Female,20972.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2013,Male,9146.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2014,Male,8961.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2015,Male,9838.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2016,Male,9301.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2017,Male,9870.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2018,Male,7232.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2019,Male,6920.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2020,Male,6023.0,p: provisional,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2021,Male,6113.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2022,Male,6216.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2023,Male,6897.0,,ED6,Bachelor's or equivalent level,F09,Health and welfare,Life & Health Sciences
2013,Female,3224.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2014,Female,3120.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2015,Female,0.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2016,Female,62.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2017,Female,73.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2018,Female,3668.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2019,Female,3983.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2020,Female,4252.0,p: provisional,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2021,Female,4941.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2022,Female,4940.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2023,Female,5209.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2013,Male,3278.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2014,Male,3626.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2015,Male,0.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2016,Male,205.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2017,Male,265.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2018,Male,4511.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2019,Male,5570.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2020,Male,6084.0,p: provisional,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2021,Male,7471.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2022,Male,7470.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2023,Male,8485.0,,ED6,Bachelor's or equivalent level,F10,Services,Cross-disciplinary
2015,Female,13199.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2016,Female,12729.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2017,Female,15419.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2018,Female,64.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2019,Female,748.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2020,Female,0.0,p: provisional,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2021,Female,170.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2022,Female,663.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2023,Female,1877.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2015,Male,6295.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2016,Male,5999.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2017,Male,6566.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2018,Male,119.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2019,Male,364.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2020,Male,0.0,p: provisional,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2021,Male,95.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2022,Male,398.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2023,Male,610.0,,ED6,Bachelor's or equivalent level,UNK,Unknown,Unknown
2015,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Female,0.0,p: provisional,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Female,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2015,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2016,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2017,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2018,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2019,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2020,Male,0.0,p: provisional,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2021,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2022,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2023,Male,0.0,,ED7,Master's or equivalent level,F00,Generic programmes and qualifications,Cross-disciplinary
2013,Female,3096.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2014,Female,9482.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2015,Female,5118.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2016,Female,3617.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2017,Female,6171.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2018,Female,6856.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2019,Female,8101.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2020,Female,9472.0,p: provisional,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2021,Female,10578.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2022,Female,11648.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2023,Female,11161.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2013,Male,429.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2014,Male,966.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2015,Male,342.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2016,Male,265.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2017,Male,404.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2018,Male,552.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2019,Male,658.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2020,Male,812.0,p: provisional,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2021,Male,876.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2022,Male,1161.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2023,Male,892.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2013,Female,13535.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2014,Female,14210.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2015,Female,13213.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2016,Female,13584.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2017,Female,14005.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2018,Female,14777.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2019,Female,15780.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2020,Female,15932.0,p: provisional,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2021,Female,17833.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2022,Female,19764.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2023,Female,22361.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
