year,sex,enrolled,obs_flag,isced11_code,isced11_desc,iscedf13_code,iscedf13_desc,macro_area
2020,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2021,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2022,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2023,Male,0.0,,ED5,Short-cycle tertiary education,F01,Education,Cross-disciplinary
2013,Female,49079.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2014,Female,47125.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2015,Female,42734.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2016,Female,41142.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2017,Female,42146.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2018,Female,44352.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2019,Female,58034.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2020,Female,80588.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2021,Female,65993.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2022,Female,70389.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2023,Female,64828.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2013,Male,5003.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2014,Male,4760.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2015,Male,4147.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2016,Male,4080.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2017,Male,4547.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2018,Male,4837.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2019,Male,9010.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2020,Male,16502.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2021,Male,8791.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2022,Male,9135.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2023,Male,6006.0,,ED6,Bachelor's or equivalent level,F01,Education,Cross-disciplinary
2013,Female,34422.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2014,Female,38324.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2015,Female,30126.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2016,Female,33417.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2017,Female,35666.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2018,Female,39509.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2019,Female,43673.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2020,Female,47678.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2021,Female,52052.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2022,Female,54005.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2023,Female,53986.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2013,Male,2611.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2014,Male,3468.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2015,Male,2020.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2016,Male,2214.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2017,Male,2332.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2018,Male,2697.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2019,Male,3128.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2020,Male,3704.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2021,Male,4125.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2022,Male,4407.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2023,Male,4042.0,,ED7,Master's or equivalent level,F01,Education,Cross-disciplinary
2013,Female,381.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2014,Female,334.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2015,Female,157.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2016,Female,116.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2017,Female,82.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2018,Female,81.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2019,Female,283.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2020,Female,298.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2021,Female,315.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2022,Female,359.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2023,Female,336.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2013,Male,167.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2014,Male,150.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2015,Male,55.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2016,Male,39.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2017,Male,33.0,d: definition differs (see metadata),ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2018,Male,32.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2019,Male,130.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2020,Male,107.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2021,Male,125.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2022,Male,177.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2023,Male,154.0,,ED8,Doctoral or equivalent level,F01,Education,Cross-disciplinary
2013,Female,0.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2016,Female,422.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2017,Female,184.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2018,Female,191.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2019,Female,185.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2020,Female,237.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2021,Female,1106.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2022,Female,708.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2023,Female,966.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2013,Male,0.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2016,Male,375.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2017,Male,164.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2018,Male,130.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2019,Male,87.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2020,Male,204.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2021,Male,1103.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2022,Male,925.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2023,Male,1165.0,,ED5,Short-cycle tertiary education,F02,Arts and humanities,Humanities
2013,Female,147921.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2014,Female,147541.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2015,Female,150859.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2016,Female,151992.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2017,Female,155902.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2018,Female,161749.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2019,Female,165707.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2020,Female,170115.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2021,Female,173433.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2022,Female,174384.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2023,Female,176047.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2013,Male,60956.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2014,Male,62975.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2015,Male,67303.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2016,Male,68853.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2017,Male,71887.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2018,Male,74602.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2019,Male,76159.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2020,Male,78116.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2021,Male,80199.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2022,Male,80841.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2023,Male,82393.0,,ED6,Bachelor's or equivalent level,F02,Arts and humanities,Humanities
2013,Female,50752.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2014,Female,49400.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2015,Female,43992.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2016,Female,46202.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2017,Female,46670.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2018,Female,49658.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2019,Female,52927.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2020,Female,56037.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2021,Female,62838.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2022,Female,65551.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2023,Female,66511.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
2013,Male,18951.0,,ED7,Master's or equivalent level,F02,Arts and humanities,Humanities
